,Player,Season,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Team
95,Lava,S8,ADC,3,0.667,4.7,3.0,2.3,8.0,6.9,360,0.856,0.201,413,1.22,0.44,0.25,0.15,-597,-30,-111,0.667,0.0,0,1.0,ROX Tigers
96,PawN,S8,MID,32,0.594,4.2,2.6,1.8,4.7,10.0,419,0.75,0.261,508,1.31,0.63,0.37,0.22,12,-3,-98,0.344,0.094,0,4.0,KT Rolster
97,Pirean,S8,MID,19,0.526,3.2,2.4,1.8,3.4,9.5,396,0.663,0.239,419,1.3,0.56,0.25,0.22,71,-1,-57,0.158,0.158,0,3.0,SK Telecom T1
98,Rather,S8,ADC,1,0.0,0.5,0.0,2.0,1.0,8.4,311,0.5,0.298,431,0.86,0.39,0.18,0.11,-514,6,-591,0.0,0.0,0,0.0,Griffin
99,Rather,S8,ADC,1,0.0,0.5,0.0,2.0,1.0,8.4,311,0.5,0.298,431,0.86,0.39,0.18,0.11,-514,6,-591,0.0,0.0,0,0.0,Griffin
100,ShowMaker,S8,MID,6,0.833,3.6,4.0,3.0,6.8,8.9,404,0.705,0.268,522,1.22,0.53,0.19,0.23,-244,-4,146,0.167,0.0,0,2.0,DAMWON Gaming
101,Tempt,S8,MID,92,0.293,3.5,2.3,1.6,3.3,9.7,393,0.666,0.3,470,1.17,0.58,0.23,0.21,46,2,-34,0.207,0.076,0,17.0,bbq Olivers
102,Ucal,S8,MID,67,0.672,4.1,2.6,1.7,4.1,9.7,412,0.63,0.243,440,1.12,0.53,0.19,0.2,127,0,38,0.284,0.03,0,12.0,KT Rolster
103,Clever,S8,ADC,1,0.0,4.0,3.0,2.0,5.0,9.3,426,0.8,0.286,421,1.25,0.5,0.1,0.05,54,1,-726,0.0,0.0,0,0.0,Hanwha Life eSports
104,Deft,S8,ADC,99,0.646,4.5,2.6,1.5,4.2,10.3,436,0.633,0.319,597,1.35,0.51,0.37,0.15,258,3,136,0.232,0.061,0,3.0,KT Rolster
105,Ghost,S8,ADC,86,0.314,2.7,2.0,1.9,3.1,9.7,396,0.606,0.263,419,1.22,0.5,0.35,0.18,-303,-9,-202,0.209,0.105,0,1.0,bbq Olivers
106,Hollow,S8,ADC,9,0.667,2.5,2.4,2.7,4.3,10.6,435,0.694,0.278,466,1.35,0.31,0.42,0.1,-87,1,351,0.222,0.111,0,0.0,Team Battlecomics
107,HyBrid,S8,ADC,6,0.333,2.9,3.5,2.2,2.8,10.9,427,0.729,0.264,387,1.06,0.39,0.32,0.04,-746,-23,-610,0.5,0.167,0,3.0,Ever8 Winners
108,Kramer,S8,ADC,64,0.609,5.9,2.7,1.1,4.0,10.7,447,0.721,0.288,490,1.61,0.57,0.51,0.19,76,-4,-9,0.375,0.031,0,5.0,Afreeca Freecs
109,Kramer,S8,ADC,64,0.609,5.9,2.7,1.1,4.0,10.7,447,0.721,0.288,490,1.61,0.57,0.51,0.19,76,-4,-9,0.375,0.031,0,5.0,Afreeca Freecs
110,Leo,S8,ADC,3,0.333,4.8,1.7,1.3,4.7,9.2,405,0.706,0.283,475,1.11,0.55,0.22,0.1,-132,-9,207,0.0,0.0,0,2.0,SK Telecom T1
111,Nuclear,S8,ADC,6,0.833,9.4,5.5,1.2,5.5,10.3,460,0.717,0.278,548,1.36,0.47,0.35,0.2,-116,-7,-452,0.0,0.0,0,0.0,DAMWON Gaming
112,Pilot,S8,ADC,84,0.369,4.2,2.6,1.4,3.4,10.5,424,0.705,0.31,543,1.29,0.42,0.33,0.1,-116,0,-107,0.155,0.071,1,3.0,MVP
113,Prince,S8,ADC,6,0.0,1.1,0.7,3.5,3.3,8.7,362,0.515,0.256,379,1.03,0.54,0.19,0.19,119,5,175,0.333,0.0,0,0.0,bbq Olivers
114,Ssol,S8,ADC,51,0.255,3.0,2.1,1.8,3.4,10.2,406,0.695,0.323,536,1.33,0.45,0.48,0.15,-67,-3,-234,0.118,0.098,0,2.0,Kongdoo Monster
115,Teddy,S8,ADC,89,0.371,4.2,3.1,1.5,3.2,11.1,439,0.688,0.33,584,1.32,0.43,0.43,0.13,19,6,48,0.213,0.067,2,6.0,Jin Air Green Wings
116,Aegis,S8,SUPPORT,1,0.0,5.0,0.0,2.0,10.0,1.7,218,0.909,0.064,104,1.86,1.23,0.2,0.5,-366,15,-424,0.0,0.0,0,0.0,Ever8 Winners
117,Asper,S8,SUPPORT,1,0.0,3.0,1.0,2.0,5.0,2.0,263,0.6,0.044,65,3.31,1.98,0.6,0.7,-579,20,146,0.0,0.0,0,0.0,Hanwha Life eSports
118,CoreJJ,S8,SUPPORT,106,0.566,3.8,0.5,1.7,5.7,1.7,248,0.753,0.073,124,2.56,1.49,0.42,0.49,-11,-2,-56,0.189,0.085,0,1.0,Gen.G eSports
119,CoreJJ,S8,SUPPORT,106,0.566,3.8,0.5,1.7,5.7,1.7,248,0.753,0.073,124,2.56,1.49,0.42,0.49,-11,-2,-56,0.189,0.085,0,1.0,KSV eSports
120,Effort,S8,SUPPORT,64,0.516,3.3,0.9,2.2,6.3,1.8,258,0.719,0.072,130,2.65,1.54,0.43,0.53,-11,-1,-135,0.25,0.094,0,1.0,SK Telecom T1
121,GorillA,S8,SUPPORT,94,0.691,3.7,0.6,2.0,6.6,1.7,259,0.63,0.073,131,2.41,1.5,0.39,0.49,-3,0,30,0.255,0.117,0,3.0,Kingzone DragonX
122,Hoit,S8,SUPPORT,6,0.833,7.7,1.2,1.5,10.3,1.3,253,0.749,0.075,149,2.65,1.41,0.44,0.46,-62,-5,-18,0.167,0.0,0,0.0,DAMWON Gaming
123,IgNar,S8,SUPPORT,92,0.293,3.4,0.5,1.6,4.9,1.9,245,0.635,0.072,111,2.68,1.67,0.46,0.56,-43,-1,-126,0.239,0.098,0,3.0,bbq Olivers
124,Joker,S8,SUPPORT,9,0.667,2.4,0.6,3.2,7.2,1.8,263,0.748,0.09,156,2.97,1.96,0.4,0.61,69,3,-297,0.444,0.111,0,0.0,Team Battlecomics
125,KeY,S8,SUPPORT,90,0.522,3.5,0.5,1.9,6.1,2.0,260,0.688,0.074,126,2.64,1.52,0.44,0.5,71,2,7,0.211,0.1,0,1.0,Hanwha Life eSports
126,KeY,S8,SUPPORT,90,0.522,3.5,0.5,1.9,6.1,2.0,260,0.688,0.074,126,2.64,1.52,0.44,0.5,71,2,7,0.211,0.1,0,1.0,ROX Tigers
127,Lehends,S8,SUPPORT,62,0.645,5.1,1.0,1.6,7.1,1.7,256,0.706,0.107,182,2.47,1.42,0.4,0.46,108,0,210,0.29,0.194,0,1.0,Griffin
128,Luci,S8,SUPPORT,5,0.4,3.0,0.4,1.8,5.0,1.5,221,0.679,0.097,136,2.47,1.8,0.27,0.54,-228,3,-748,0.4,0.0,0,0.0,Ever8 Winners
129,Mata,S8,SUPPORT,99,0.646,4.4,0.8,1.6,6.3,1.9,256,0.668,0.069,125,2.71,1.76,0.45,0.64,13,1,-99,0.253,0.091,0,2.0,KT Rolster
130,Motive,S8,SUPPORT,8,0.25,1.7,0.6,2.9,4.1,2.3,242,0.818,0.144,223,1.67,0.98,0.22,0.31,24,12,260,0.25,0.25,0,0.0,MVP
131,Nova,S8,SUPPORT,45,0.311,2.3,0.4,2.0,4.0,1.6,224,0.557,0.077,115,2.69,1.64,0.48,0.65,-146,-1,45,0.178,0.111,0,0.0,Jin Air Green Wings
132,Secret,S8,SUPPORT,51,0.255,2.1,0.8,2.5,4.3,1.9,243,0.673,0.076,119,2.17,1.49,0.34,0.47,-126,-2,48,0.118,0.137,0,0.0,Kongdoo Monster
133,TusiN,S8,SUPPORT,106,0.613,3.8,0.5,1.9,6.6,2.0,262,0.714,0.077,128,2.61,1.73,0.39,0.55,56,0,9,0.368,0.085,0,0.0,Afreeca Freecs
134,Wraith,S8,SUPPORT,44,0.432,3.7,0.5,2.0,7.0,1.6,245,0.663,0.059,107,2.23,1.39,0.32,0.38,-121,-2,-152,0.273,0.068,0,1.0,Jin Air Green Wings
135,CheonGo,S9,MID,17,0.059,1.1,1.5,3.2,2.1,8.3,343,0.634,0.21,308,1.2,0.56,0.34,0.22,-633,-14,-369,0.176,0.059,0,2.0,Jin Air Green Wings
136,CheonGo,S9,MID,17,0.059,1.1,1.5,3.2,2.1,8.3,343,0.634,0.21,308,1.2,0.56,0.34,0.22,-633,-14,-369,0.176,0.059,0,2.0,Jin Air Green Wings
137,CuVee,S9,TOP,66,0.47,2.4,2.0,2.3,3.4,8.3,380,0.574,0.24,367,1.12,0.51,0.22,0.22,-250,-7,-132,0.106,0.136,0,17.0,Gen.G eSports
