Player,Season,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
PraY,S6,KR,ADC,90,75.6%,5.3,3.7,1.9,6.5,8.9,426,68.6%,27.5,606,-,0.45,0.21,0.05,187,6,77,30%,3.3%,0,8
Ruler,S6,KR,ADC,53,60.4%,3.9,3.1,2.1,5.2,9.2,406,68.7%,26,551,-,0.32,0.25,0.08,-7,2,-0,24.5%,7.5%,0,4
Sangyoon,S6,KR,ADC,102,47.1%,4.4,3.2,1.8,4.9,9,409,71.8%,26.8,530,-,0.37,0.2,0.07,59,1,-0,21.6%,2.9%,1,6
Ssol,S6,KR,ADC,53,26.4%,3.1,2.7,2,3.4,9.1,393,72.4%,29.7,545,-,0.47,0.35,0.06,43,1,43,17%,11.3%,0,7
Stitch,S6,,ADC,16,50%,3.1,2.8,2.2,4,8.8,400,55.2%,25.5,478,-,0.41,0.3,0.05,-302,-9,-50,6.3%,6.3%,1,1
Chei,S6,,SUPPORT,90,47.8%,3.3,0.5,2.1,6.3,1,247,71.6%,6.1,107,-,1.5,0.39,0.42,-17,-0,108,22.2%,14.4%,0,1
Comeback,S6,RO,SUPPORT,105,62.9%,3.8,0.8,2.6,8.9,1.1,262,72.3%,6.5,132,-,1.34,0.42,0.32,97,-1,-12,24.8%,8.6%,0,1
GorillA,S6,KR,SUPPORT,90,75.6%,4.6,0.5,2.3,9.9,1.1,272,69.6%,5.7,123,-,1.44,0.31,0.32,56,2,174,32.2%,3.3%,0,3
GuGer,S6,KR,SUPPORT,53,26.4%,2.1,0.3,2.9,5.6,1.1,241,69.7%,7.1,127,-,1.46,0.38,0.32,-39,1,-192,20.8%,5.7%,0,1
IgNar,S6,KR,SUPPORT,3,66.7%,3.6,0.3,1.7,5.7,1.2,245,57%,5.4,98,-,1.58,0.48,0.34,-137,-1,-485,33.3%,0%,0,-
KeY,S6,KR,SUPPORT,42,42.9%,2.8,0.4,2.4,6.4,1.4,255,72.6%,6.4,113,-,1.51,0.54,0.38,69,4,-76,40.5%,7.1%,0,-
Lehends,S6,KR,SUPPORT,5,20%,2.3,0.4,2.2,4.6,1.3,245,64%,6.8,127,-,1.63,0.5,0.43,309,10,194,40%,0%,0,-
MadLife,S6,KR,SUPPORT,97,34%,3.2,0.5,2.2,6.8,1,248,75.7%,7,124,-,1.22,0.41,0.29,-49,-1,-1,20.6%,8.2%,0,-
Max,S6,KR,SUPPORT,45,46.7%,3.5,0.7,2.2,7.1,1.3,263,70.6%,7,139,-,1.33,0.37,0.27,-28,0,215,24.4%,11.1%,0,1
Pure,S6,,SUPPORT,80,43.8%,3.6,0.5,2,6.6,1.1,256,71.4%,6.1,121,-,1.42,0.46,0.35,-1,-1,-55,31.3%,8.8%,0,-
Secret,S6,KR,SUPPORT,44,20.5%,2,0.4,2.5,4.7,1,232,71.5%,6.6,107,-,1.46,0.33,0.28,-112,-0,141,22.7%,2.3%,0,-
SnowFlower,S6,KR,SUPPORT,102,47.1%,3.5,0.6,2.4,7.6,1,256,72.4%,6.7,130,-,1.22,0.39,0.27,37,-1,-7,26.5%,7.8%,0,1
Sweet,S6,KR,SUPPORT,8,50%,2.8,0.6,4.1,10.8,0.8,263,84.7%,6.8,157,-,1.21,0.29,0.25,-97,-4,66,25%,12.5%,0,-
Totoro,S6,,SUPPORT,16,43.8%,2,0.4,3.3,6.1,1,246,73.5%,5.4,97,-,1.5,0.41,0.35,8,1,-228,37.5%,6.3%,0,-
Wolf,S6,KR,SUPPORT,98,66.3%,4.5,0.5,1.9,8.2,1.2,266,66.1%,5.7,127,-,1.27,0.43,0.28,-52,-0,-47,16.3%,8.2%,0,3
Wraith,S6,KR,SUPPORT,87,55.2%,3.9,0.5,1.9,6.7,1.1,251,64.5%,4.8,96,-,1.54,0.44,0.33,-14,0,-178,21.8%,8%,0,1
Zzus,S6,KR,SUPPORT,4,50%,2.2,0.3,2.3,4.8,1,245,29.5%,6.6,115,-,1.19,0.37,0.3,-196,-4,-321,0%,25%,0,1
ADD,S7,KR,TOP,97,41.2%,2,1.7,3.2,4.7,7.8,358,56.7%,23.4,427,-,0.6,0.18,0.16,-206,-6,-256,16.5%,17.5%,0,15
Crazy,S7,KR,TOP,96,35.4%,3.2,1.8,1.8,3.9,8.4,364,58.8%,22.7,389,-,0.59,0.12,0.12,78,7,100,15.6%,12.5%,0,10
CuVee,S7,KR,TOP,100,65%,3.2,1.9,2,4.5,8.4,382,56.6%,21.3,399,-,0.54,0.16,0.12,18,-0,32,24%,8%,0,38
Expession,S7,,TOP,45,44.4%,2.8,1.8,2.5,5,8.3,373,58.5%,21.1,407,-,0.47,0.09,0.06,20,-1,-30,20%,20%,0,5
Helper,S7,CN,TOP,21,23.8%,2.3,1.2,2.6,4.8,7.4,340,61.8%,19.9,330,-,0.57,0.11,0.18,-330,-11,-356,33.3%,23.8%,0,2
Huni,S7,KR,TOP,54,66.7%,3.4,2.5,2.4,5.7,9,410,58.4%,24.5,515,-,0.48,0.12,0.07,-49,-3,-14,20.4%,14.8%,0,21
Ikssu,S7,KR,TOP,53,34%,2.5,1.8,2.6,4.7,7.9,354,61.1%,21,377,-,0.54,0.11,0.12,-8,0,99,20.8%,9.4%,1,11
Khan,S7,KR,TOP,47,72.3%,4,3.3,2.2,5.7,9.1,421,64.1%,25.7,523,-,0.58,0.14,0.14,200,1,-21,23.4%,21.3%,0,26
Kiin,S7,KR,TOP,26,30.8%,2.2,1.9,2.2,2.9,8.9,374,53.9%,25,390,-,0.54,0.15,0.12,-278,-4,-310,15.4%,19.2%,0,13
Lindarang,S7,KR,TOP,52,36.5%,2.4,1.7,2.8,4.8,7.7,353,61.4%,19.6,338,-,0.58,0.09,0.13,-401,-10,-360,19.2%,19.2%,0,2
MaRin,S7,KR,TOP,108,52.8%,2.8,1.8,2.4,4.9,9,388,59.6%,22.4,415,-,0.5,0.12,0.06,115,5,243,20.4%,13.9%,0,21
Part,S7,,TOP,3,33.3%,1.6,0.7,2.7,3.7,7,307,66.2%,22.7,361,-,0.34,0.13,0.1,-740,-17,-226,0%,33.3%,0,-
Profit,S7,KR,TOP,9,77.8%,8.7,2,1.1,7.7,8.6,385,71%,21.3,429,-,0.54,0.11,0.08,-133,-1,-188,0%,22.2%,0,1
Rascal,S7,KR,TOP,1,0%,2,1,2,3,9.1,340,80%,27.6,476,-,0.59,0.16,0.19,-416,0,-106,0%,0%,0,-
Roach,S7,KR,TOP,52,32.7%,1.9,1.1,2.5,3.6,8.1,349,52.6%,19.4,320,-,0.55,0.13,0.09,-370,-9,-172,9.6%,15.4%,0,7
Shy,S7,KR,TOP,39,48.7%,2.7,1.5,2.4,5.1,8.5,376,54.9%,18.6,351,-,0.48,0.1,0.06,71,1,-10,15.4%,12.8%,0,5
Smeb,S7,KR,TOP,108,63%,3.6,2.9,2.4,5.8,8.8,402,63.4%,24,487,-,0.54,0.14,0.11,431,8,252,31.5%,7.4%,0,33
SoHwan,S7,KR,TOP,33,51.5%,2.9,2,2.4,5,8.5,382,61.2%,22.6,438,-,0.57,0.13,0.13,160,5,42,21.2%,9.1%,0,4
Soul,S7,KR,TOP,9,33.3%,1.9,1.1,2.7,4,7.5,329,58.2%,20.3,318,-,0.53,0.13,0.1,-195,-12,-171,33.3%,0%,0,1
Untara,S7,KR,TOP,37,73%,3.4,2,2,4.7,8.8,391,57.7%,21,391,-,0.54,0.13,0.1,-77,-2,114,16.2%,13.5%,0,5
Ambition,S7,KR,JUNGLE,57,66.7%,3.7,1.8,1.9,5.3,5.2,353,64.1%,13.5,268,-,0.87,0.37,0.25,93,9,227,29.8%,10.5%,0,7
Beyond,S7,KR,JUNGLE,97,41.2%,2.7,2.4,2.8,5.2,5.2,340,69.4%,15.2,283,-,0.85,0.39,0.24,-37,8,204,33%,12.4%,0,6
Bless,S7,KR,JUNGLE,96,33.3%,2.2,1.5,2.5,4,4.6,322,62%,13.6,230,-,0.82,0.38,0.21,-252,-3,-172,26%,17.7%,0,10
Comeback,S7,RO,SUPPORT,12,33.3%,2.1,0.6,2.6,4.8,0.9,236,61.4%,8.9,134,-,1.32,0.36,0.44,-460,-6,-469,8.3%,8.3%,0,-
Crash,S7,KR,JUNGLE,45,44.4%,2.7,2.7,2.6,4.5,5.2,351,66.2%,14.8,289,-,0.79,0.37,0.19,-4,-3,7,37.8%,6.7%,0,6
Cuzz,S7,KR,JUNGLE,48,70.8%,4.4,2.2,2,6.7,4.1,342,65.1%,14.4,294,-,0.92,0.49,0.21,-28,-8,-226,43.8%,8.3%,0,4
Haru,S7,KR,JUNGLE,43,62.8%,3.4,3,2,3.8,5.5,367,64.4%,15.1,271,-,0.79,0.37,0.24,314,6,263,46.5%,11.6%,0,14
Malrang,S7,KR,JUNGLE,45,28.9%,3.1,1.7,1.9,4.2,4.5,316,68.7%,14.8,233,-,1.05,0.37,0.35,-96,0,48,37.8%,4.4%,0,4
Mightybear,S7,KR,JUNGLE,36,41.7%,3.5,2.2,2.3,5.7,4.6,333,72%,14.7,268,-,0.94,0.34,0.24,-197,-2,-243,25%,13.9%,0,-
Mowgli,S7,KR,JUNGLE,16,56.3%,2.9,1.9,2.3,4.8,4.7,334,66.2%,13,241,-,0.93,0.47,0.29,-128,2,-17,25%,18.8%,0,1
Peanut,S7,KR,JUNGLE,71,64.8%,4.3,2.8,1.9,5.3,5,357,66.9%,13.2,259,-,0.77,0.37,0.13,122,2,117,32.4%,4.2%,0,7
Punch,S7,KR,JUNGLE,52,32.7%,2.1,1.9,2.7,3.9,4.4,319,71.4%,13.3,225,-,1.02,0.51,0.29,-183,-6,-182,28.8%,13.5%,0,2
Raise,S7,,JUNGLE,8,50%,2.5,1.9,2.6,4.6,4.3,333,75.8%,14.3,231,-,1.06,0.43,0.37,-289,-10,-335,37.5%,12.5%,0,-
Score,S7,KR,JUNGLE,108,63%,5.2,3.1,1.8,6.4,4.7,360,71.1%,14.8,305,-,0.78,0.4,0.23,329,0,111,48.1%,9.3%,0,11
SeongHwan,S7,KR,JUNGLE,55,41.8%,2.7,1.9,2.7,5.5,4.3,321,68.7%,15,272,-,0.92,0.41,0.3,-211,-3,-303,36.4%,7.3%,0,4
Spirit,S7,KR,JUNGLE,92,52.2%,3.3,2.2,2.4,5.5,4.6,339,67.7%,14.2,267,-,0.97,0.44,0.33,-2,1,49,41.3%,9.8%,0,9
