Player,Season,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Patch,S9,KR,JUNGLE,11,36.4%,2.2,1.8,2.9,4.5,4.9,303,62%,11.2,203,1.82,0.87,0.39,0.37,-317,-5,-386,36.4%,18.2%,0,-
Peanut,S9,KR,JUNGLE,85,45.9%,3.1,1.3,2,4.9,5.2,311,65.7%,10.8,167,2,0.81,0.58,0.35,-12,-2,31,38.8%,8.2%,0,1
Punch,S9,KR,JUNGLE,15,60%,4,1.7,1.9,6.1,5.2,325,76.4%,10.7,177,2.2,1.09,0.52,0.43,112,10,230,40%,20%,0,1
Ryan,S9,KR,JUNGLE,5,40%,2.3,1.2,2.8,5.2,5.2,309,71.4%,11,167,2.21,1.04,0.52,0.34,116,7,246,20%,40%,0,-
Score,S9,KR,JUNGLE,65,36.9%,2.8,1.8,2.7,5.7,4.7,306,70.3%,13.3,208,2,0.85,0.5,0.34,-52,-0,49,41.5%,9.2%,0,4
Seize,S9,KR,JUNGLE,27,29.6%,2.2,2.2,2.9,4.4,4.4,295,68.4%,13.4,222,1.82,0.91,0.45,0.46,-224,-6,-250,37%,3.7%,0,2
SeongHwan,S9,KR,JUNGLE,3,33.3%,2.4,1,1.7,3,5.5,312,60.6%,14.3,169,1.5,0.53,0.45,0.36,-218,1,-104,66.7%,0%,0,-
Spirit,S9,KR,SUPPORT,4,50%,2.6,1,5,12,0.7,243,82.8%,11.2,218,2.25,1.21,0.36,0.47,-694,-14,574,25%,25%,0,-
Tarzan,S9,KR,JUNGLE,88,69.3%,6.6,2.5,1.4,6.5,5.5,346,72.5%,15.3,257,2.08,0.85,0.49,0.47,396,5,408,53.4%,2.3%,0,15
UmTi,S9,KR,JUNGLE,26,38.5%,2.5,1.7,2.5,4.5,5.1,312,63.4%,12.3,193,2.03,0.82,0.58,0.41,16,2,-42,26.9%,11.5%,0,2
bono,S9,KR,JUNGLE,85,47.1%,2.6,1.5,2.7,5.6,4.4,297,69.6%,12.8,202,2.1,0.98,0.49,0.46,-197,-5,-227,37.6%,11.8%,0,5
ALL IN,S9,KR,MID,15,40%,2.3,1.5,3.1,5.5,7.8,350,59.6%,21.4,331,1.13,0.6,0.24,0.39,-433,-10,-382,13.3%,6.7%,1,1
Bdd,S9,KR,MID,91,37.4%,3.4,3,2.1,4.4,8.6,385,70.2%,26.7,424,1.04,0.52,0.23,0.22,68,1,-4,26.4%,9.9%,0,24
Brook,S9,,MID,6,33.3%,1.3,1.2,2.5,2.2,8.2,346,41.5%,18.3,247,0.89,0.57,0.17,0.29,-471,-18,-294,0%,33.3%,0,-
Chovy,S9,KR,MID,88,69.3%,6.6,2.9,1.1,4.7,10.1,429,59.4%,24.2,409,1.18,0.47,0.33,0.18,435,10,406,26.1%,3.4%,0,26
Cover,S9,KR,MID,7,71.4%,2.1,1.7,3.4,5.6,7.8,362,61.6%,22,368,1.86,0.82,0.56,0.25,-19,3,38,28.6%,28.6%,0,1
Dove,S9,KR,MID,99,57.6%,4,2.7,1.8,4.5,8.7,391,68.7%,25.8,445,1.09,0.44,0.29,0.23,-15,3,104,18.2%,6.1%,0,17
Faker,S9,KR,MID,105,70.5%,4,2.7,1.9,4.9,9.1,405,60%,25.5,449,1.2,0.53,0.28,0.22,94,4,14,24.8%,7.6%,0,29
Fly,S9,KR,MID,57,43.9%,2.9,1.5,2,4.2,8.2,354,61.2%,24.4,366,1.07,0.5,0.23,0.24,-234,-9,-77,12.3%,10.5%,0,1
Ggoong,S9,,MID,6,16.7%,3.9,0.8,1.7,5.7,6.9,313,65%,25.7,409,1.1,0.48,0.28,0.16,-367,-9,-31,16.7%,16.7%,0,-
Gori,S9,KR,MID,1,0%,1,2,3,1,8.7,354,75%,25.3,228,1.45,0.63,0.39,0.2,-783,1,-685,0%,0%,0,-
Kuzan,S9,KR,MID,30,43.3%,4.7,2.2,1.4,4.3,8.8,380,67.2%,25.6,424,1.1,0.44,0.34,0.16,-60,0,-134,13.3%,13.3%,0,1
Lava,S9,KR,MID,44,34.1%,2.6,2.5,2.2,3.2,8.3,372,68.5%,28.2,389,1.1,0.48,0.29,0.26,-223,-6,-353,22.7%,11.4%,0,8
Naehyun,S9,KR,MID,62,51.6%,4.3,2.8,1.8,4.9,8.6,391,63.5%,21.8,372,1.17,0.56,0.23,0.26,-112,-5,43,16.1%,4.8%,0,1
PawN,S9,KR,MID,42,69%,4.8,3.1,1.7,5.3,8.7,408,64.5%,22.3,408,1.29,0.58,0.31,0.34,85,-8,12,19%,11.9%,0,11
Rich,S9,KR,MID,5,40%,1.4,1.6,3.6,3.4,7.7,351,59%,20,314,1.21,0.47,0.34,0.15,-1231,-28,-604,40%,20%,0,2
Ruby,S9,KR,MID,5,40%,2.3,2.2,2.4,3.4,9.1,385,70.4%,25.1,382,0.79,0.33,0.25,0.1,-64,-2,248,0%,0%,0,1
ShowMaker,S9,KR,MID,100,58%,5.4,3.3,1.6,5.5,9.1,413,69.1%,24.2,440,1.16,0.52,0.27,0.24,91,2,33,11%,8%,1,15
Tempt,S9,KR,MID,49,55.1%,5.3,3,1.5,5.1,8.7,392,66.5%,27.2,461,1.19,0.5,0.29,0.27,228,4,64,30.6%,6.1%,0,11
Ucal,S9,KR,MID,75,45.3%,2.8,2.4,2.5,4.7,8.4,377,63.8%,23.1,385,1.08,0.55,0.23,0.28,174,6,-43,21.3%,6.7%,0,9
reM,S9,KR,MID,2,0%,1.3,1.5,3,2.5,9.2,375,57.5%,29,466,0.76,0.43,0.15,0.15,-220,-4,-416,0%,0%,0,-
Aiming,S9,KR,ADC,82,46.3%,4.2,3.5,1.8,4.1,9.7,441,69%,32.1,533,1.38,0.46,0.44,0.14,85,-1,53,19.5%,7.3%,0,7
Deft,S9,KR,ADC,104,58.7%,4.3,3.4,2,5.3,9.7,440,69.3%,32.7,580,1.41,0.55,0.39,0.22,107,2,19,21.2%,8.7%,0,7
Gango,S9,KR,ADC,16,25%,2.4,2.5,2.8,4.3,9.4,406,65.3%,26.6,420,0.97,0.36,0.3,0.13,-304,-4,-115,18.8%,6.3%,0,-
Ghost,S9,KR,ADC,99,57.6%,3.9,2.7,1.9,4.6,9.7,430,64.4%,25.9,458,1.3,0.5,0.38,0.2,-75,0,-6,14.1%,8.1%,0,5
Light,S9,KR,ADC,17,29.4%,2.4,2.9,3.2,4.7,9.4,417,72.8%,27.6,483,1.07,0.36,0.36,0.12,-443,-5,-292,29.4%,23.5%,1,2
Moo,S9,,ADC,1,0%,0.6,2,7,2,9.1,365,50%,23.6,429,1.15,0.47,0.5,0.25,-1074,-14,-1681,0%,0%,0,-
Nuclear,S9,KR,ADC,99,57.6%,5.3,3.1,1.6,5.3,9.8,436,66.5%,24.9,449,1.3,0.41,0.41,0.13,-160,-5,-16,13.1%,6.1%,0,3
PraY,S9,KR,ADC,44,36.4%,2.7,2.3,2.2,3.6,9.6,419,58.1%,26.1,393,1.28,0.49,0.41,0.16,-222,-2,69,25%,2.3%,0,3
Prince,S9,KR,ADC,1,100%,2,2,2,2,9.8,428,50%,33.7,609,1.54,0.54,0.49,0.29,-888,-6,254,0%,0%,0,-
Route,S9,KR,ADC,93,16.1%,2.4,2.5,2.2,2.8,9.9,417,65.1%,29.8,458,1.37,0.46,0.45,0.2,-16,-1,-62,19.4%,8.6%,0,8
Ruler,S9,KR,ADC,88,45.5%,4.7,3.3,1.5,3.6,10.5,453,75.5%,33.2,514,1.64,0.51,0.54,0.21,190,2,-19,35.2%,4.5%,0,5
Sangyoon,S9,KR,ADC,93,45.2%,4.3,2.9,1.5,3.8,10.1,433,64.4%,29.9,475,1.2,0.35,0.38,0.12,-112,-1,-18,15.1%,7.5%,0,-
Ssol,S9,KR,ADC,9,22.2%,2.3,2.2,2.9,4.3,10,412,61.8%,28,485,1.28,0.38,0.49,0.14,-636,-9,-597,11.1%,22.2%,0,1
Stitch,S9,,ADC,3,0%,0.5,0.3,2,0.7,9.2,359,26.2%,26.4,288,1.21,0.39,0.4,0.13,-634,-11,-386,0%,0%,0,-
Teddy,S9,KR,ADC,106,69.8%,7.8,3.8,1,3.9,10.8,466,62.3%,30.4,544,1.33,0.45,0.4,0.17,83,5,8,18.9%,5.7%,0,9
Trigger,S9,KR,ADC,7,71.4%,7.4,2.7,1,4.7,9.2,415,57.1%,21.7,369,1.42,0.44,0.5,0.17,-612,-11,-225,28.6%,0%,0,-
Veritas,S9,,ADC,6,33.3%,3,2.7,1.8,2.8,9.8,412,74.2%,31.8,458,1.16,0.42,0.33,0.2,7,2,64,16.7%,16.7%,0,1
Viper,S9,KR,ADC,88,69.3%,7.5,3.6,1,4.3,10.5,464,63%,28.6,484,1.46,0.44,0.43,0.11,376,5,131,34.1%,5.7%,1,3
Zenit,S9,KR,ADC,31,45.2%,3.3,2.9,2.3,4.5,9.5,415,70.8%,28.5,497,1.09,0.36,0.3,0.18,-87,1,92,25.8%,6.5%,0,2
BeryL,S9,KR,SUPPORT,69,60.9%,3.2,0.6,2.8,8.2,1.9,257,67.4%,7.7,143,2.58,1.71,0.43,0.55,-66,1,-28,14.5%,15.9%,0,1
Effort,S9,KR,SUPPORT,40,77.5%,5.5,0.3,1.5,7.9,1.7,265,64.1%,6.7,120,2.73,1.77,0.34,0.49,-9,-4,-95,20%,5%,0,-
GuGer,S9,KR,SUPPORT,17,29.4%,2.8,0.8,2.8,7.1,2.1,254,74.3%,9.6,163,2.12,1.45,0.25,0.44,-39,8,117,41.2%,5.9%,0,1
Hoit,S9,KR,SUPPORT,31,51.6%,3.8,0.5,2.2,7.9,1.8,268,69.5%,6.9,117,2.75,1.62,0.44,0.46,-105,0,-83,19.4%,3.2%,0,-
Jelly,S9,KR,SUPPORT,23,30.4%,2,0.4,3.1,6,1.7,235,60.5%,7.6,115,2.37,1.48,0.32,0.47,-65,-3,-74,17.4%,13%,0,2
Joker,S9,KR,SUPPORT,99,57.6%,2.3,0.5,3.1,6.5,1.9,262,64.8%,8.6,147,2.66,1.75,0.41,0.52,41,1,51,17.2%,13.1%,0,2
KeY,S9,KR,SUPPORT,93,45.2%,2.8,0.6,2.5,6.1,1.6,248,69.6%,7.9,122,2.63,1.61,0.4,0.5,60,2,-67,19.4%,14%,0,-
Kellin,S9,KR,SUPPORT,62,9.7%,1.7,0.3,3.2,4.9,1.3,224,61.8%,8.9,133,2.33,1.65,0.29,0.56,-221,-4,-315,19.4%,16.1%,0,-
Keshi,S9,KR,SUPPORT,62,50%,2.2,0.6,3,6,1.3,234,58.4%,7.7,121,2.25,1.56,0.27,0.5,-101,1,-10,17.7%,16.1%,0,-
Lehends,S9,KR,SUPPORT,88,69.3%,6.2,0.7,1.4,7.9,1.9,272,67.1%,9.7,164,2.58,1.55,0.36,0.46,350,4,358,35.2%,10.2%,0,3
Life,S9,KR,SUPPORT,88,45.5%,3.4,0.7,2,6,1.5,251,73%,9.4,141,2.37,1.67,0.26,0.45,27,-1,122,34.1%,6.8%,0,1
Mata,S9,KR,SUPPORT,66,65.2%,3.9,0.6,2,7.2,1.6,253,63.9%,6.6,113,2.55,1.78,0.36,0.54,-102,-5,22,27.3%,9.1%,0,1
Minit,S9,KR,SUPPORT,1,0%,0.8,0,5,4,1.9,223,50%,5.8,105,1.9,1.62,0.22,0.44,-536,-6,-1208,0%,0%,0,-
Nova,S9,KR,SUPPORT,34,26.5%,2,0.4,2.7,5,1.8,239,68.3%,8.5,123,2.7,1.67,0.46,0.5,-166,1,-225,26.5%,14.7%,0,2
Proud,S9,KR,SUPPORT,7,28.6%,4.2,0.4,1.9,7.3,1,243,79.1%,6.7,111,2.55,1.82,0.46,0.56,-739,-11,-509,14.3%,0%,0,-
Pure,S9,,SUPPORT,6,33.3%,2.5,0.7,2.3,5.2,1.6,236,69%,10.1,156,2.51,1.39,0.36,0.47,27,-8,-185,16.7%,0%,0,-
Secret,S9,KR,SUPPORT,7,71.4%,3.6,0.9,2.4,8,1.4,255,69.5%,7.3,123,2.45,1.64,0.42,0.51,152,-4,489,42.9%,0%,0,-
SnowFlower,S9,KR,SUPPORT,91,37.4%,2.4,0.6,2.8,6.3,1.7,245,64.9%,9.1,140,2.6,1.52,0.43,0.46,-51,1,-138,27.5%,9.9%,0,-
TusiN,S9,KR,SUPPORT,104,58.7%,3.8,0.8,2.2,7.6,1.6,260,67.9%,8.2,140,2.51,1.64,0.38,0.51,112,1,58,25%,11.5%,0,3
Canna,S10,KR,TOP,99,66.7%,5.1,2.8,1.6,5.5,8.3,398,63.9%,23,421,1.02,0.43,0.19,0.17,100,-1,56,24.2%,13.1%,0,43
Chovy,S10,KR,MID,105,64.8%,4.4,3.5,1.9,4.8,9.6,426,66.7%,27.1,539,1.36,0.46,0.39,0.18,336,15,419,16.2%,10.5%,0,24
CuVee,S10,KR,TOP,56,32.1%,1.7,2.1,3.3,3.5,7.6,355,58.9%,24.4,404,1.06,0.52,0.22,0.26,-173,-4,-260,14.3%,17.9%,0,10
Doran,S10,KR,TOP,105,64.8%,2.9,2.5,2.6,5.2,8.5,394,59.8%,20.8,417,1.01,0.47,0.19,0.17,77,5,102,17.1%,22.9%,0,33
DuDu,S10,KR,TOP,31,22.6%,1.6,2.4,3.6,3.5,8,369,59.1%,23.7,405,0.93,0.49,0.16,0.23,-113,2,97,22.6%,22.6%,0,14
Fly,S10,KR,MID,86,46.5%,3.3,2.3,2.4,5.4,7.8,360,65.3%,22.6,407,1.02,0.46,0.22,0.22,-309,-11,-343,20.9%,5.8%,0,12
Hoya,S10,KR,TOP,8,12.5%,1.5,2.1,2.6,1.9,7.5,338,44.5%,23.5,348,0.88,0.49,0.12,0.19,-611,-13,-248,25%,25%,0,-
Ikssu,S10,KR,TOP,84,27.4%,1.6,1.9,3.9,4.2,6.9,333,60%,23.4,407,0.84,0.42,0.15,0.13,-530,-11,-251,16.7%,15.5%,0,27
Kiin,S10,KR,MID,1,0%,0.5,2,4,0,8,343,40%,14.3,199,0.99,0.3,0.23,0.17,121,2,6,0%,0%,0,-
Lonely,S10,KR,TOP,12,41.7%,2.6,2.4,3.1,5.5,7.8,361,68%,26.1,398,1.2,0.56,0.21,0.26,-314,-7,-92,16.7%,41.7%,0,2
Nuguri,S10,KR,TOP,93,67.7%,3.3,3.5,2.6,4.8,9,437,60%,28,546,1.04,0.41,0.24,0.14,697,9,270,29%,21.5%,0,37
Rascal,S10,KR,TOP,101,69.3%,3.9,2.8,2.1,5.5,8.2,392,58.8%,21.5,401,1,0.44,0.21,0.2,130,2,95,28.7%,9.9%,0,39
Ray,S10,KR,TOP,6,33.3%,1.8,2.2,2.8,2.8,7.5,352,45.1%,18.8,269,0.92,0.38,0.16,0.25,-793,-25,-589,16.7%,33.3%,0,1
Rich,S10,KR,TOP,48,41.7%,2.2,2.7,3.4,4.8,7.9,376,66.4%,27.5,495,0.99,0.36,0.24,0.1,-111,-3,-113,22.9%,22.9%,0,16
Roach,S10,KR,TOP,4,50%,2.1,3.3,3.3,3.5,7.7,364,53.6%,17.7,320,1.1,0.5,0.2,0.15,-492,0,215,25%,0%,0,1
Smeb,S10,KR,SUPPORT,4,25%,2,0.5,3.3,6,1.2,207,70.4%,18.2,339,2.11,1.24,0.35,0.49,38,3,87,25%,0%,0,-
SoHwan,S10,KR,TOP,62,48.4%,2.6,1.7,2.1,3.9,8,364,56%,21.5,370,1.08,0.52,0.19,0.23,-275,-5,-199,14.5%,16.1%,1,9
Summit,S10,KR,TOP,81,40.7%,2,2,3.1,4.2,8.3,374,60.8%,26.4,451,1.15,0.46,0.3,0.24,43,4,11,27.2%,17.3%,0,14
Sw0rd,S10,KR,TOP,32,34.4%,1.9,1.5,2.7,3.6,7.3,339,51.2%,21,309,1.04,0.49,0.22,0.19,-418,-15,-129,21.9%,9.4%,0,6
Thal,S10,KR,TOP,8,25%,1.8,1.8,2.8,3.1,7.5,347,67.5%,20.8,328,0.9,0.36,0.18,0.16,-418,-6,-251,12.5%,0%,0,1
Untara,S10,KR,TOP,10,50%,2.1,1.1,2.2,3.6,7.2,330,52%,21.6,359,0.91,0.41,0.12,0.19,-468,-2,-47,10%,10%,0,-
Beyond,S10,KR,JUNGLE,48,41.7%,2.8,1.6,2.8,6.2,5.1,301,69.6%,11.4,207,1.53,0.47,0.46,0.4,-259,-1,-219,20.8%,12.5%,0,1
CAD,S10,KR,JUNGLE,16,25%,2,2.1,4.2,6.3,4.1,279,79%,11.4,204,1.19,0.52,0.3,0.48,-324,-8,-428,37.5%,18.8%,0,3
Canyon,S10,KR,JUNGLE,93,67.7%,4.4,2.2,2.1,6.9,5.7,341,67.4%,13.4,266,1.77,0.62,0.46,0.37,319,6,291,45.2%,7.5%,1,14
Clid,S10,KR,JUNGLE,101,69.3%,5.1,2.6,1.9,7,5.6,342,68.9%,13.6,262,2.04,0.71,0.56,0.38,219,-1,110,39.6%,5.9%,0,14
Cuzz,S10,KR,JUNGLE,80,68.8%,5.7,1.9,1.5,6.5,5.7,326,70.5%,15,269,2.08,0.69,0.56,0.36,149,6,277,41.3%,7.5%,0,5
Dread,S10,KR,JUNGLE,19,26.3%,1.8,1.7,3.1,3.9,5.3,305,68.6%,13.6,229,1.73,0.59,0.48,0.35,-104,-5,-88,47.4%,10.5%,0,1
Ellim,S10,KR,JUNGLE,23,56.5%,5.7,2.3,1.9,8.3,5.2,325,72%,11.9,216,1.57,0.53,0.37,0.41,-2,-4,-16,43.5%,13%,0,1
Flawless,S10,KR,JUNGLE,75,30.7%,2.1,1.9,3.2,4.8,5.1,305,69.5%,13.3,234,1.87,0.68,0.56,0.44,-232,-2,-167,33.3%,9.3%,0,7
Haru,S10,KR,JUNGLE,61,32.8%,2.3,1.8,2.8,4.6,5.5,314,67.8%,13.6,228,1.71,0.67,0.44,0.41,-56,0,-41,27.9%,11.5%,0,4
KaKAO,S10,KR,JUNGLE,8,25%,1.9,1.5,2.8,3.8,5.3,302,80%,16.1,248,0.91,0.25,0.21,0.23,54,13,465,25%,25%,0,1
Kuma,S10,KR,JUNGLE,9,0%,1.5,1.6,3.7,4,5.3,301,57.8%,17.7,298,1.38,0.54,0.42,0.37,-349,-3,-189,33.3%,22.2%,0,1
Malrang,S10,KR,JUNGLE,15,26.7%,2,1.7,3.4,5.1,5.3,309,75.1%,13.3,236,1.73,0.66,0.43,0.43,-399,-3,-290,33.3%,40%,0,1
OnFleek,S10,KR,JUNGLE,78,39.7%,3.1,2.1,2.4,5.4,5.5,318,72.2%,12.6,218,1.98,0.63,0.65,0.4,-39,-5,-175,30.8%,6.4%,0,9
Punch,S10,KR,JUNGLE,15,46.7%,4,1.7,2,6.3,5,298,79.5%,12.1,196,1.83,0.65,0.51,0.44,-16,3,9,46.7%,6.7%,0,-
Pyosik,S10,KR,JUNGLE,108,64.8%,4.3,2.5,2.2,6.7,5.9,340,71%,14.6,293,1.71,0.54,0.47,0.3,128,5,284,31.5%,9.3%,0,10
Spirit,S10,KR,JUNGLE,81,50.6%,3.5,2.1,2.5,6.5,5.2,313,69.6%,14.4,261,2.2,0.74,0.67,0.39,-150,-3,-209,40.7%,9.9%,0,12
Tarzan,S10,KR,JUNGLE,50,34%,2.9,1.5,2.1,4.5,5,292,67%,13,198,1.83,0.72,0.48,0.44,-183,-5,-232,40%,6%,0,2
YoungJae,S10,KR,JUNGLE,10,10%,1.4,1.9,4.5,4.3,4.6,291,66.8%,11.7,202,1.51,0.56,0.45,0.54,-657,-15,-912,40%,20%,0,-
bono,S10,KR,JUNGLE,80,48.8%,3.5,1.7,2.2,5.9,5.3,313,72.7%,12.3,215,1.86,0.62,0.5,0.43,39,-0,-32,43.8%,8.8%,0,6
ALL IN,S10,KR,MID,13,46.2%,4.4,3.3,1.5,3.4,8.1,369,59.9%,21.8,354,0.93,0.57,0.15,0.3,-404,-18,-598,30.8%,0%,0,2
Bdd,S10,KR,MID,101,69.3%,6.1,3.6,1.6,6.1,8.6,409,68.5%,26.2,495,1.09,0.51,0.23,0.26,293,4,159,29.7%,6.9%,0,19
Clozer,S10,KR,MID,15,80%,5.7,4,1.5,4.7,9,413,58.3%,25.2,471,0.97,0.41,0.14,0.16,264,1,283,20%,13.3%,0,7
Cover,S10,KR,MID,25,52%,2.4,2.2,3,5,8.7,384,52.6%,25.3,474,0.95,0.33,0.26,0.19,-50,4,-69,8%,4%,0,2
DanChung,S10,KR,MID,8,25%,1.7,1.1,3.4,4.5,7.1,323,71.1%,23.7,376,1.08,0.47,0.2,0.19,-1132,-26,-656,12.5%,37.5%,0,-
Dove,S10,KR,MID,46,34.8%,2.8,2.1,2,3.6,8.5,374,60.5%,25.6,408,1.06,0.5,0.25,0.23,-140,-4,-144,15.2%,15.2%,0,5
FATE,S10,KR,MID,47,46.8%,4.6,3.6,1.8,4.6,8.9,409,69.9%,29.5,535,1.12,0.51,0.22,0.22,122,2,115,17%,6.4%,0,12
Faker,S10,KR,MID,88,63.6%,5.4,2.9,1.5,5.4,9,407,67.6%,26.4,473,1.26,0.53,0.27,0.22,197,2,85,22.7%,10.2%,0,11
Keine,S10,KR,MID,26,19.2%,2.3,2.1,2.5,3.8,8.3,357,59.5%,25.1,447,1.18,0.59,0.24,0.28,-219,-5,-292,11.5%,7.7%,0,3
Kuzan,S10,KR,MID,48,41.7%,3.8,2.9,2,4.6,8.7,388,67.1%,25.1,458,1.25,0.51,0.3,0.25,-63,3,-82,14.6%,10.4%,0,6
Lava,S10,KR,SUPPORT,1,100%,3.3,4,3,6,1.5,297,71.4%,16.6,342,2.79,1.26,0.82,0.27,78,-10,241,0%,0%,0,-
Mickey,S10,KR,MID,33,15.2%,1.6,2,3.2,3,8.2,358,68%,25.8,406,1.05,0.48,0.28,0.24,-503,-8,-261,30.3%,6.1%,0,12
Mireu,S10,KR,MID,28,25%,2,2.2,3.1,4.1,8.3,365,58.2%,23.5,394,0.96,0.52,0.18,0.25,-547,-13,-305,21.4%,7.1%,0,6
Naehyun,S10,KR,MID,1,0%,-,0,0,0,9.5,349,0%,26.1,172,1.4,0.47,0.36,0.18,-812,-15,-218,0%,0%,0,-
Quad,S10,KR,MID,3,66.7%,5.8,5,1.7,4.7,7.8,385,72.8%,24.8,449,1.64,0.67,0.47,0.23,-256,-16,-644,0%,33.3%,0,-
ShowMaker,S10,KR,MID,93,67.7%,7.4,3.5,1.3,6.1,8.8,416,70.7%,25.9,513,1.19,0.47,0.21,0.21,293,3,118,24.7%,2.2%,1,18
Tempt,S10,KR,MID,39,38.5%,2.9,2.3,2.2,4.3,8.7,374,67.4%,26.7,450,1.15,0.59,0.23,0.32,-175,-3,-88,23.1%,7.7%,0,2
Ucal,S10,KR,MID,69,34.8%,3,2.3,2.2,4.2,8.7,375,67%,25.5,421,1.04,0.43,0.28,0.21,-98,2,-66,29%,11.6%,0,10
kurO,S10,KR,MID,75,48%,4.2,2.1,1.6,4.7,8.2,370,67%,24.3,422,1.24,0.54,0.28,0.25,-76,-4,82,22.7%,5.3%,0,7
Aiming,S10,KR,SUPPORT,7,85.7%,15.4,2.9,0.7,8.1,2.2,326,86.6%,25.1,446,3.52,1.34,0.92,0.2,847,2,720,42.9%,0%,0,-
BeryL,S10,KR,SUPPORT,69,72.5%,3.7,1,2.4,7.8,1.4,248,61.4%,8,164,3.03,1.75,0.55,0.5,92,5,-10,18.8%,7.2%,0,-
Deft,S10,KR,SUPPORT,4,75%,9,3.3,1,5.8,2.1,317,61.1%,23.7,476,2.43,1.15,0.51,0.23,598,-6,404,25%,0%,0,-
Effort,S10,KR,SUPPORT,98,67.3%,4,0.9,2.2,8.1,1.2,238,69.7%,6.8,121,3.02,1.89,0.48,0.53,136,1,20,32.7%,6.1%,0,2
Ghost,S10,KR,SUPPORT,10,70%,7.1,1.4,1.6,9.9,1.3,288,75.5%,15.2,303,2.51,1.27,0.47,0.3,815,-3,491,30%,10%,0,-
GorillA,S10,KR,SUPPORT,80,42.5%,2.7,0.4,2.6,6.6,0.9,216,65.4%,7.3,123,2.17,1.61,0.22,0.51,-153,-1,-31,20%,13.8%,0,1
GuGer,S10,KR,SUPPORT,47,40.4%,2.5,1,2.9,6.3,1.3,233,63.4%,10.9,188,2.84,1.78,0.41,0.49,-68,2,4,8.5%,10.6%,0,-
Gumayusi,S10,KR,ADC,7,42.9%,3.9,4.3,2.6,5.9,10,453,67.2%,24.2,437,1.33,0.51,0.35,0.23,746,3,287,57.1%,0%,0,-
HyBrid,S10,KR,ADC,65,32.3%,2.7,3.8,2.5,2.9,10,431,62.7%,29.4,527,1.09,0.33,0.4,0.08,-300,-7,-400,21.5%,4.6%,3,8
Jelly,S10,KR,SUPPORT,43,41.9%,2.5,0.9,2.9,6.3,1,223,65%,8.9,155,2.44,1.54,0.32,0.5,-133,-0,-73,16.3%,9.3%,0,-
Kabbie,S10,KR,SUPPORT,46,34.8%,2.2,0.4,2.7,5.4,1,212,63.1%,7.5,112,2.55,1.81,0.34,0.57,-130,2,-332,26.1%,15.2%,0,1
Keria,S10,KR,SUPPORT,104,64.4%,4.3,0.8,2.2,8.6,1.1,238,70.1%,8.9,184,2.65,1.72,0.41,0.59,105,-2,7,26%,10.6%,0,-
Lehends,S10,KR,SUPPORT,83,26.5%,2.5,0.6,2.7,6.4,1.1,220,71.3%,8.9,148,2.61,1.66,0.38,0.53,-130,-0,-25,21.7%,9.6%,0,5
Leo,S10,KR,SUPPORT,1,100%,-,2,0,5,3.2,286,70%,15.7,259,2.4,0.86,0.89,0.12,291,13,1180,0%,0%,0,-
Life,S10,KR,SUPPORT,75,72%,4.5,0.8,2.2,8.9,1,238,61.8%,8.2,164,2.55,1.59,0.35,0.48,41,-2,-59,30.7%,6.7%,0,1
Mystic,S10,KR,SUPPORT,3,33.3%,2.8,2,3,6.3,1.9,265,88.2%,25.4,413,2.82,0.99,0.96,0.18,162,8,505,33.3%,33.3%,0,-
Nuclear,S10,KR,SUPPORT,1,100%,10,1,1,9,2.8,310,83.3%,20.9,363,3.33,1.04,1.07,0.23,572,7,563,0%,0%,0,-
Route,S10,KR,SUPPORT,4,50%,7.8,1.5,1,6.3,2.1,272,81.8%,25.7,442,2.86,1.07,0.75,0.35,338,-3,239,0%,25%,0,-
Ruler,S10,KR,SUPPORT,5,60%,5.7,2,1.4,6,2.1,299,68%,26.9,441,2.58,1.12,0.83,0.28,707,-3,668,0%,0%,0,-
Sangyoon,S10,KR,ADC,8,25%,2.3,2.3,2,2.3,9.6,402,59.7%,30,463,1.27,0.39,0.37,0.16,-215,2,-271,0%,0%,0,-
Ssol,S10,KR,ADC,4,25%,2.6,2.8,1.8,1.8,8.8,379,49.5%,27.7,534,1.22,0.3,0.48,0.13,-692,-6,-225,25%,0%,0,-
Teddy,S10,KR,SUPPORT,3,33.3%,7,1.3,1,5.7,2.4,278,61.7%,18.4,305,3.19,1.12,1.03,0.22,126,-2,417,0%,0%,0,-
Trigger,S10,KR,ADC,19,10.5%,1.6,2.2,3.4,3.2,8.5,367,54.9%,26.3,443,1.25,0.41,0.34,0.15,-307,-5,-132,21.1%,0%,0,4
TusiN,S10,KR,SUPPORT,84,42.9%,2.9,0.4,2.5,7,1.1,227,72.9%,8.1,142,2.56,1.73,0.38,0.52,86,1,177,23.8%,13.1%,0,-
Viper,S10,KR,SUPPORT,2,0%,1,1,3.5,2.5,1.3,237,60.7%,25.6,375,2.27,1.21,0.57,0.21,-101,-4,398,50%,0%,0,-
Vsta,S10,KR,SUPPORT,3,66.7%,21,1.7,0.3,5.3,1.3,257,84.5%,20.2,397,2.64,1.27,0.65,0.28,141,-13,128,33.3%,0%,0,-
