Team,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,FOS%,DRAPG,DRA%,VGPG,HER%,ATAKHAN%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
Gen.G eSports,S13,KR,109,74.3%,1.56,1923,219,31:43,14.2,9.1,7.7,4.2,62.4,67.0,-,2.69,61.3,-,52.8,-,0.93,0.2,1079,4.97,0.94,68.4,34.7,2248,3.1,1.21,1.88
Hanwha Life eSports,S13,KR,115,53.0%,1.02,1822,20,32:21,11.1,10.8,6.0,5.8,48.7,47.8,-,1.95,43.7,-,50.9,-,0.80,0.0,41,4.07,0.82,50.2,34.2,2054,3.4,1.56,1.68
KT Rolster,S13,KR,118,69.5%,1.52,1878,144,31:05,13.0,8.5,7.2,4.4,55.1,60.2,-,2.66,61.9,-,43.6,-,1.03,0.1,512,4.24,0.81,65.9,34.4,2022,3.2,1.36,1.70
Kwangdong Freecs,S13,KR,83,32.5%,0.68,1753,-115,32:39,9.0,13.3,5.0,6.9,41.0,45.8,-,1.93,41.2,-,50.6,-,0.73,-0.1,-168,4.29,0.37,25.4,34.1,2071,3.0,1.48,1.70
Liiv SANDBOX,S13,KR,91,41.8%,0.87,1768,-76,32:35,10.8,12.4,5.1,6.5,48.4,39.6,-,2.11,46.9,-,41.7,-,0.98,-0.1,-609,3.09,0.65,46.1,33.9,1984,3.3,1.61,1.74
Nongshim RedForce,S13,KR,85,25.9%,0.69,1702,-218,30:52,9.2,13.2,3.7,7.7,42.4,25.9,-,1.59,35.1,-,50.0,-,0.73,-0.4,-1491,2.71,0.44,28.1,32.6,1908,3.2,1.58,1.61
T1,S13,KR,120,61.7%,1.10,1874,118,31:32,12.7,11.5,7.2,4.6,52.5,70.0,-,2.53,60.4,-,60.9,-,1.06,0.2,928,5.20,0.92,65.4,33.6,2241,3.3,1.41,1.64
Dplus KIA,S14,KR,116,53.4%,1.19,1855,56,33:59,13.5,11.3,6.5,5.9,62.1,50.9,-,2.28,49.7,2.1,48.7,-,0.78,-0.1,313,4.29,0.84,55.4,33.8,2362,3.9,1.48,1.86
DRX,S14,KR,83,25.3%,0.64,1714,-214,31:56,8.6,13.6,4.1,7.5,45.8,34.9,-,1.77,37.4,2.9,54.2,-,0.82,-0.2,-844,2.73,0.42,27.6,33.6,2118,3.8,1.35,1.73
FearX,S14,KR,91,37.4%,0.85,1806,-81,32:10,11.4,13.5,5.1,6.5,49.5,38.5,-,1.93,43.3,2.8,57.1,-,0.80,-0.1,-564,3.63,0.60,43.3,34.5,2267,3.9,1.42,1.73
Gen.G eSports,S14,KR,103,83.5%,1.63,1979,261,31:41,15.3,9.4,8.4,3.8,44.7,69.9,-,3.01,67.5,3.4,50.5,-,1.10,0.3,1185,5.29,0.97,72.8,35.3,2671,3.9,1.38,1.89
Hanwha Life eSports,S14,KR,112,69.6%,1.44,1903,151,31:54,14.5,10.0,7.0,4.7,57.1,63.4,-,2.56,57.7,2.6,61.6,-,0.94,0.1,802,4.20,0.86,64.1,34.8,2446,3.7,1.33,1.90
KT Rolster,S14,KR,105,52.4%,1.11,1821,-6,32:54,13.3,12.0,5.8,5.8,50.5,56.2,-,2.44,52.0,2.7,54.8,-,0.93,0.1,161,3.78,0.71,48.8,33.5,2383,3.7,1.52,1.71
Kwangdong Freecs,S14,KR,90,43.3%,0.77,1810,-79,32:18,11.0,14.2,5.3,6.2,34.4,47.8,-,2.46,53.2,2.7,44.4,-,0.84,-0.2,-811,3.48,0.61,40.3,34.9,2340,3.4,1.21,1.75
Nongshim RedForce,S14,KR,84,32.1%,0.69,1758,-171,32:13,10.0,14.5,4.6,7.1,47.6,33.3,-,1.89,40.9,2.6,32.1,-,0.73,-0.2,-1067,3.01,0.55,34.7,33.7,2233,3.7,1.45,1.69
OK BRION,S14,KR,82,19.5%,0.62,1715,-247,31:39,9.4,15.1,3.3,8.2,48.8,23.2,-,1.40,31.1,2.2,45.7,-,0.76,-0.3,-1277,2.56,0.39,27.7,33.5,2159,3.5,1.49,1.73
T1,S14,KR,124,62.1%,1.15,1912,139,32:24,13.4,11.6,7.0,4.8,53.2,64.5,-,2.51,56.7,2.9,46.7,-,0.98,0.3,997,5.40,0.94,65.2,35.0,2456,3.7,1.27,1.70
